名稱,藝人,作曲者,專輯,分類,作品,樂章編號,樂章,樂章名稱,類型,大小,時間長度,光碟編號,光碟數量,音軌編號,音軌數量,年份,修改日期,加入的日期,位元率,取樣頻率,音量調整,種類,等化器,註解,播放次數,最近播放,略過次數,上次略過的日期,喜好程度,位置
我心中尚未崩壞的地方,五月天,,後 青春期的詩,,,,,,Mandopop,11518607,324,1,1,7,12,2008,2022/12/28 12:57,,256,44100,,Apple Music AAC音訊檔,,,2.0,2025/5/27 03:54,,,,
笑忘歌,五月天,,後 青春期的詩,,,,,,Mandopop,9175390,254,1,1,12,12,2008,2022/12/28 12:57,,256,44100,,Apple Music AAC音訊檔,,,2.0,2025/1/8 12:36,1.0,2025/7/3 17:27,,
星空,五月天,,第二人生 (末日版),,,,,,Mandopop,10413127,283,1,1,7,14,2011,2022/12/28 12:57,,256,44100,,Apple Music AAC音訊檔,,,3.0,2025/5/27 04:03,,,,
OAOA (丟掉名字性別),五月天,,第二人生 (末日版),,,,,,Mandopop,9801251,282,1,1,10,14,2011,2022/12/28 12:57,,256,44100,,Apple Music AAC音訊檔,,,2.0,2025/5/27 03:01,,,,
如果我們不曾相遇,五月天,,自傳,,,,,,Mandopop,7201847,202,1,1,1,15,2016,2022/12/28 12:57,,256,44100,,Apple Music AAC音訊檔,,,3.0,2025/5/24 00:31,,,,
成名在望,五月天,,自傳,,,,,,Mandopop,10701078,307,1,1,2,15,2016,2022/12/28 12:57,,256,44100,,Apple Music AAC音訊檔,,,2.0,2025/5/23 20:07,,,,
好好 (想把你寫成一首歌),五月天,,自傳,,,,,,Mandopop,7011822,198,1,1,3,15,2016,2022/12/28 12:57,,256,44100,,Apple Music AAC音訊檔,,,2.0,2025/5/27 00:58,,,,
兄弟,五月天,,自傳,,,,,,Mandopop,8940853,248,1,1,4,15,2016,2022/12/28 12:57,,256,44100,,Apple Music AAC音訊檔,,,1.0,2025/1/8 13:01,,,,
後來的我們,五月天,,自傳,,,,,,Mandopop,12074449,346,1,1,6,15,2016,2022/12/28 12:57,,256,44100,,Apple Music AAC音訊檔,,,2.0,2025/5/21 19:47,,,,
頑固,五月天,,自傳,,,,,,Mandopop,9399076,264,1,1,7,15,2016,2022/12/28 12:57,,256,44100,,Apple Music AAC音訊檔,,,1.0,2025/1/8 13:11,,,,
派對動物,五月天,,自傳,,,,,,Mandopop,8871133,249,1,1,8,15,2016,2022/12/28 12:57,,256,44100,,Apple Music AAC音訊檔,,,2.0,2025/5/26 03:07,,,,
最好的一天,五月天,,自傳,,,,,,Mandopop,8637025,242,1,1,9,15,2016,2022/12/28 12:57,,256,44100,,Apple Music AAC音訊檔,,,1.0,,,,,
少年他的奇幻漂流,五月天,,自傳,,,,,,Mandopop,9676060,275,1,1,10,15,2016,2022/12/28 12:57,,256,44100,,Apple Music AAC音訊檔,,,1.0,2025/1/8 13:24,,,,
終於結束的起點,五月天,,自傳,,,,,,Mandopop,10855966,306,1,1,11,15,2016,2022/12/28 12:57,,256,44100,,Apple Music AAC音訊檔,,,2.0,2025/5/27 00:33,,,,
任意門,五月天,,自傳,,,,,,Mandopop,9786211,272,1,1,12,15,2016,2022/12/28 12:57,,256,44100,,Apple Music AAC音訊檔,,,2.0,2025/5/23 21:24,,,,
轉眼,五月天,,自傳,,,,,,Mandopop,12605762,366,1,1,13,15,2016,2022/12/28 12:57,,256,44100,,Apple Music AAC音訊檔,,,2.0,2025/5/21 02:51,,,,
太陽,邱振哲,,太陽 - EP,,,,,,Mandopop,9270990,262,1,1,1,4,2017,2022/12/28 12:57,,256,44100,,Apple Music AAC音訊檔,,,1.0,,,,,
怨偶 (feat. 艾怡良),MC HOTDOG,,廢物,,,,,,Chinese Hip-Hop,7460359,210,1,1,9,13,2019,2022/12/28 12:57,,256,44100,,Apple Music AAC音訊檔,,,1.0,2025/5/26 03:15,,,,
Twilight,JJ Lin,JJ Lin,From M.E. To Myself (Experimental Debut Album),,,,,,Mandopop,9438445,265,1,1,2,18,2015,2022/12/28 12:57,,256,44100,,Apple Music AAC音訊檔,,,3.0,2025/5/23 22:01,,,,
超越無限,林俊傑,JJ Lin,超越無限 - Single,,,,,,Mandopop,9373307,262,1,1,1,1,2016,2022/12/28 12:57,,256,44100,,Apple Music AAC音訊檔,,,,,,,,
也可以 (電影「追婚日記」插曲),閻奕格,,也可以 (電影「追婚日記」插曲) - Single,,,,,,Mandopop,9656284,276,1,1,1,1,2015,2022/12/28 12:57,,256,44100,,Apple Music AAC音訊檔,,,1.0,,,,,
偷故事的人,張惠妹,Eve Ai,偷故事的人,,,,,,Mandopop,8964653,258,1,1,1,10,2017,2022/12/28 12:57,,256,44100,,Apple Music AAC音訊檔,,,,,,,,
你說了算 (feat. 瘦子),張惠妹,Uru & Felipe Z.,偷故事的人,,,,,,Mandopop,8940720,246,1,1,4,10,2017,2022/12/28 12:57,,256,44100,,Apple Music AAC音訊檔,,,2.0,2025/5/21 18:58,,,,
連名帶姓,張惠妹,Jay Chou,偷故事的人,,,,,,Mandopop,11400795,333,1,1,6,10,2017,2022/12/28 12:57,,256,44100,,Apple Music AAC音訊檔,,,1.0,,,,,
不該 (with 張惠妹),周杰倫,,周杰倫的床邊故事,,,,,,Mandopop,10123944,291,1,1,6,10,2016,2022/12/28 12:57,,256,44100,,Apple Music AAC音訊檔,,,2.0,2025/5/26 22:35,,,,
光年之外 (電影《Passengers》中國區主題曲),鄧紫棋,G.E.M.,光年之外 (電影《Passengers》中國區主題曲) - Single,,,,,,Soundtrack,8332783,235,1,1,1,1,2016,2022/12/28 12:57,2025/6/18 15:19,256,44100,,Apple Music AAC音訊檔,,,11.0,2025/7/8 18:50,1.0,,,
