名稱,藝人,作曲者,專輯,分類,作品,樂章編號,樂章,樂章名稱,類型,大小,時間長度,光碟編號,光碟數量,音軌編號,音軌數量,年份,修改日期,加入的日期,位元率,取樣頻率,音量調整,種類,等化器,註解,播放次數,最近播放,略過次數,上次略過的日期,喜好程度,位置
Kanata Haluka,RADWIMPS,Yojiro Noda,鈴芽之旅,,,,,,Rock,12531873,355,1,1,26,29.0,2022,2022/12/28 12:52,2023/3/6 21:20,256,44100,,Apple Music AAC音訊檔,,,28.0,2025/5/28 00:59,,,,
hitomibore,Vaundy,VAUNDY,hitomibore - Single,,,,,,Rock,9183613,257,1,1,1,1.0,2022,2022/12/28 12:52,2023/3/24 22:41,256,44100,,Apple Music AAC音訊檔,,,20.0,2025/6/3 13:37,,,,
One Last Kiss,宇多田ヒカル,Hikaru Utada,One Last Kiss,,,,,,J-Pop,9208763,252,1,1,1,8.0,2020,2022/12/28 12:52,2023/3/24 22:41,256,44100,,Apple Music AAC音訊檔,,,28.0,2025/5/28 13:08,,,,
Week End,星野源,Gen Hoshino,YELLOW DANCER,,,,,,J-Pop,9490597,270,1,1,2,14.0,2015,2022/12/28 12:52,2023/3/24 22:41,256,44100,,Apple Music AAC音訊檔,,,29.0,2025/5/28 03:24,,,,
NIGHT DANCER,imase,imase,NIGHT DANCER - Single,,,,,,J-Pop,7492471,210,1,1,1,1.0,2022,2022/12/28 12:52,2023/3/24 22:41,256,44100,,Apple Music AAC音訊檔,,,35.0,2025/4/22 14:13,1.0,2023/10/3 02:17,,
Escape,imase,imase,Escape - Single,,,,,,J-Pop,6939190,191,1,1,1,1.0,2022,2022/12/28 12:52,2023/3/24 22:41,256,44100,,Apple Music AAC音訊檔,,,39.0,2025/5/28 18:05,1.0,,,
Aimai de iiyo,羊文学,Moeka Shiotsuka,POWERS,,,,,,Rock,10103936,273,1,1,11,12.0,2020,2022/12/28 12:52,2023/3/24 22:41,256,44100,,Apple Music AAC音訊檔,,,24.0,2025/7/3 20:00,1.0,2024/6/27 20:24,,
First Love (Remastered 2014),宇多田ヒカル,Hikaru Utada,First Love (Remastered 2014),,,,,,J-Pop,9543694,257,1,1,4,11.0,1999,2022/12/28 12:52,2023/3/24 22:41,256,44100,,Apple Music AAC音訊檔,,,28.0,2025/7/2 08:50,,,,
Kaiju no Hanauta,Vaundy,VAUNDY,strobo,,,,,,Rock,8051241,224,1,1,4,11.0,2020,2023/1/1 18:55,2023/3/24 22:41,256,44100,,Apple Music AAC音訊檔,,,31.0,2025/6/3 19:22,3.0,2023/12/6 02:18,,
おもかげ (produced by Vaundy),"milet, Aimer & Lilas Ikuta",VAUNDY,おもかげ (produced by Vaundy) - Single,,,,,,J-Pop,6785361,188,1,1,1,1.0,2021,2023/1/1 19:01,2023/3/24 22:38,256,44100,,Apple Music AAC音訊檔,,,127.0,2025/7/8 13:21,1.0,2023/6/13 21:31,,
おもかげ -self cover-,Vaundy,VAUNDY,裸の勇者 - EP,,,,,,J-Pop,7407872,209,1,1,4,4.0,2022,2023/1/1 19:01,2023/3/24 22:41,256,44100,,Apple Music AAC音訊檔,,,53.0,2025/6/3 18:45,2.0,2025/7/8 13:21,,
Shiwaawase,Vaundy,VAUNDY,Shiwaawase - Single,,,,,,Rock,10180274,278,1,1,1,1.0,2021,2023/1/5 23:36,2023/3/24 22:41,256,44100,,Apple Music AAC音訊檔,,,45.0,2025/6/3 19:12,1.0,,,
mabuta,Vaundy,VAUNDY,mabuta - Single,,,,,,Rock,9227541,256,1,1,1,1.0,2023,2023/1/10 10:59,2023/3/24 22:38,256,44100,,Apple Music AAC音訊檔,,,44.0,2025/6/3 13:26,1.0,2024/3/24 22:08,,
okitegami,Vaundy,VAUNDY,okitegami - Single,,,,,,Rock,8781431,239,1,1,1,1.0,2022,2023/1/12 16:34,2023/3/24 22:41,256,44100,,Apple Music AAC音訊檔,,,42.0,2025/6/3 13:41,1.0,2023/4/21 18:28,,
地球儀 (with Vaundy),Aimer,VAUNDY,Walpurgis,,,,,,J-Pop,8304459,232,1,1,5,14.0,2021,2023/1/17 17:13,2023/3/24 22:41,256,44100,,Apple Music AAC音訊檔,,,41.0,2025/5/28 00:41,,,,
Kimini Muchuu,Hikaru Utada,Hikaru Utada,Kimini Muchuu - Single,,,,,,J-Pop,9111138,257,1,1,1,1.0,2021,2023/2/2 23:12,2023/3/24 22:41,256,44100,,Apple Music AAC音訊檔,,,39.0,2025/6/27 13:05,1.0,2024/4/26 02:04,,
初恋,宇多田ヒカル,Hikaru Utada,初恋,,,,,,J-Pop,9894131,280,1,1,3,12.0,2018,2023/2/2 23:12,2023/3/24 22:41,256,44100,,Apple Music AAC音訊檔,,,39.0,2025/5/28 01:36,,,,
あなた,宇多田ヒカル,Hikaru Utada,初恋,,,,,,J-Pop,10232307,277,1,1,2,12.0,2017,2023/2/2 23:12,2023/3/24 22:41,256,44100,,Apple Music AAC音訊檔,,,33.0,2025/4/15 12:30,1.0,2024/11/16 17:56,,
Pop Virus,星野源,Gen Hoshino,POP VIRUS,,,,,,J-Pop,6524639,182,1,1,1,14.0,2018,2023/2/7 00:16,2023/3/24 22:41,256,44100,,Apple Music AAC音訊檔,,,26.0,2025/5/28 18:53,,,,
Fukakoryoku,Vaundy,VAUNDY,strobo,,,,,,Rock,7450290,200,1,1,6,11.0,2019,2023/2/7 10:24,2023/3/24 22:41,256,44100,,Apple Music AAC音訊檔,,,37.0,2025/6/3 12:10,,,,
